id,school_name,deviation,category,category_ja
354,星野高校（β）,59,PRIVATE,私立
355,本庄東高校（進学）,59,PRIVATE,私立
356,山村学園高校（特進GL）,59,PRIVATE,私立
357,浦和実業高校（選抜α）,58,PRIVATE,私立
358,国際学院高校（セレクト）,58,PRIVATE,私立
359,武蔵越生高校（選抜Ⅰ）,58,PRIVATE,私立
360,叡明高校（進学）,57,PRIVATE,私立
361,西武学園文理高校（クリエイティブ）,57,PRIVATE,私立
362,細田学園高校（普通:進学α）,57,PRIVATE,私立
363,本庄第一高校（AⅠ類型アドバンス）,57,PRIVATE,私立
364,浦和学院高校（文理選抜）,56,PRIVATE,私立
365,浦和実業高校（選抜）,56,PRIVATE,私立
366,大妻嵐山高校（大妻進学）,56,PRIVATE,私立
367,聖望学園高校（進学選抜）,56,PRIVATE,私立
368,東京農大第三高校（Ⅱコース）,56,PRIVATE,私立
369,山村国際高校（特別進学）,56,PRIVATE,私立
370,秋草学園高校（選抜）,55,PRIVATE,私立
371,浦和学院高校（保健医療）,55,PRIVATE,私立
372,埼玉栄高校（特進）,55,PRIVATE,私立
373,埼玉栄高校（保健体育）,55,PRIVATE,私立
374,狭山ヶ丘高校（Ⅲ類）,55,PRIVATE,私立
375,西武台高校（S-uni）,55,PRIVATE,私立
376,東京成徳大深谷高校（進学選抜）,55,PRIVATE,私立
377,花咲徳栄高校（AD選抜進学）,55,PRIVATE,私立
378,東野高校（特進I&S）,55,PRIVATE,私立
379,浦和実業高校（進学）,54,PRIVATE,私立
380,国際学院高校（選抜進学）,54,PRIVATE,私立
381,埼玉平成高校（特進）,54,PRIVATE,私立
382,浦和学院高校（文理進学）,53,PRIVATE,私立
383,浦和学院高校（アート）,53,PRIVATE,私立
384,正智深谷高校（選抜）,53,PRIVATE,私立
385,花咲徳栄高校（AD特別進学）,53,PRIVATE,私立
386,本庄第一高校（AⅠ類型スタンダード）,53,PRIVATE,私立
387,浦和学院高校（アスリート選抜）,52,PRIVATE,私立
388,西武台高校（A-uni）,52,PRIVATE,私立
389,埼玉平成高校（進学）,52,PRIVATE,私立
390,聖望学園高校（進学）,52,PRIVATE,私立
391,武蔵越生高校（選抜Ⅱ）,52,PRIVATE,私立
392,武蔵越生高校（アスリート選抜）,52,PRIVATE,私立
393,山村国際高校（総合進学）,52,PRIVATE,私立
394,西武学園文理高校（アート）,51,PRIVATE,私立
395,秋草学園高校（AG）,50,PRIVATE,私立
396,秋草学園高校（幼児教育・保健医療）,50,PRIVATE,私立
397,浦和学院高校（総合進学）,50,PRIVATE,私立
398,浦和実業高校（商業）,50,PRIVATE,私立
399,花咲徳栄高校（AD総合進学）,50,PRIVATE,私立
400,東野高校（進学A）,50,PRIVATE,私立
401,国際学院高校（食物調理）,49,PRIVATE,私立
402,国際学院高校（進学）,48,PRIVATE,私立
403,正智深谷高校（総進）,48,PRIVATE,私立
404,東京成徳大深谷高校（進学）,48,PRIVATE,私立
405,花咲徳栄高校（食育実践）,48,PRIVATE,私立
406,本庄第一高校（AⅡ類型）,48,PRIVATE,私立
407,西武学園文理高校（スポーツ）,47,PRIVATE,私立
408,自由の森学園高校（普通）,47,PRIVATE,私立
409,秀明英光高校（国際英語）,47,PRIVATE,私立
410,狭山ヶ丘高校（Ⅳ類:スポーツ・文化進学）,46,PRIVATE,私立
411,東京農大第三高校（Ⅲコース）,46,PRIVATE,私立
